Time,x_world,y_world,z_world,x_world_smoothed,y_world_smoothed,z_world_smoothed
1.8142459392547607,124.2289500115083,-2.1684243884151737,-2.1687547002606182,124.2289500115083,-2.1684243884151737,-2.1687547002606182
1.8511266708374023,120.89166833806537,-4.221630083506398,-4.224203354055532,122.56030917478684,-3.1950272359607856,-3.196479027158075
1.8966760635375977,117.65167094969152,-6.165862803412424,-6.174324500554419,120.9240964330884,-4.185305758444666,-4.189094184956857
1.936779499053955,119.03288830828946,-8.323590395826637,-6.253482506971783,120.45129440188866,-5.219876917790158,-4.705191265460588
1.9748597145080566,136.35030003734093,-11.929105521625702,-7.173112287408809,123.6310955289791,-6.561722638557266,-5.198775469850232
2.0151660442352295,115.7031403839879,-12.160890087896256,-6.097145444297488,122.30976967148058,-7.494917213447098,-5.348503798924774
2.0562217235565186,116.93496854565426,-14.357808767073118,-6.174324500554419,121.54194093921967,-8.47533029253653,-5.466478184871867
2.0985560417175293,109.72214115575066,-15.420441303362814,-5.806805185045227,120.06446596628605,-9.343469168889815,-5.509019059893537
2.138890027999878,117.85448352798934,-18.666316413317873,-6.253482506971783,119.81891236203086,-10.379341084937376,-5.591737220680009
2.1755685806274414,111.86374221748291,-19.72459591595881,-3.966629978808243,119.02339534757607,-11.31386656803952,-5.4292264964928325
2.214810609817505,114.34227204041491,-22.225886186724953,-2.03320753149433,118.59783868328869,-12.305868351556377,-5.120497499674786
2.2580788135528564,116.87622333737278,-24.842808173569555,7.316487445205977e-15,118.45437073779568,-13.350613336724143,-4.693789374701887
2.295205593109131,113.4969455760289,-26.20283452341428,2.0332075314943436,118.07303034073672,-14.339245735700306,-4.176328074225254
2.3357038497924805,117.91890449457551,-27.22372418017068,2.112423409344773,118.06202135172519,-15.259565624591048,-3.727131539684538
2.374192476272583,116.40712366772198,-26.874702075296696,2.085341057942917,117.95169483945831,-16.033908054638093,-3.339633366509374
2.4151244163513184,116.40712366772198,-26.874702075296696,2.085341057942917,117.85515914122479,-16.711457680929254,-3.0005724649811056
2.4592061042785645,121.06340861443086,-27.949690158308567,2.1687547002606333,118.04387969847221,-17.372530179598623,-2.6964943964374744
2.497300386428833,121.06340861443086,-27.949690158308567,2.1687547002606333,118.21163130491436,-17.960150178415844,-2.426202779954246
2.5351998805999756,119.47046902739885,-27.581931077278185,2.1402184542045726,118.27788592188723,-18.4665596994086,-2.1858648202616764
2.576359987258911,117.91890449457551,-27.22372418017068,2.112423409344773,118.25993685052165,-18.904417923446704,-1.9709504087813539
2.617558002471924,117.91890449457551,-27.22372418017068,2.112423409344773,118.24369721452419,-19.300575364243084,-1.7765040364896336
2.657933235168457,119.47046902739885,-27.581931077278185,2.1402184542045726,118.29945956965486,-19.677000623926496,-1.5984711960035334
2.6960160732269287,119.47046902739885,-27.581931077278185,2.1402184542045726,118.35037302433939,-20.020693252333093,-1.4359194720814419
2.7313902378082275,119.47046902739885,-27.581931077278185,2.1402184542045726,118.39704369113353,-20.335744828372473,-1.286913725152858
2.775205373764038,119.47046902739885,-27.581931077278185,2.1402184542045726,118.43998070458414,-20.6255922783287,-1.1498284379785606
2.8182430267333984,119.47046902739885,-27.581931077278185,2.1402184542045726,118.47961487084625,-20.89314377059599,-1.023288172894594
2.8595974445343018,119.47046902739885,-27.581931077278185,2.1402184542045726,118.51631317294078,-21.14087663380644,-0.90612126077981
2.895820140838623,119.47046902739885,-27.581931077278185,2.1402184542045726,118.55039016774286,-21.37091429250186,-0.7973234138160822
2.934375047683716,119.47046902739885,-27.581931077278185,2.1402184542045726,118.58211702497238,-21.585087285080352,-0.696028866642956
2.975748300552368,119.47046902739885,-27.581931077278185,2.1402184542045726,118.61172875838659,-21.784982078153615,-0.6014872892813717
3.0166187286376953,117.91890449457551,-27.22372418017068,2.112423409344773,118.58937958858624,-21.96042537176707,-0.5139417828740768
3.0588889122009277,117.91890449457551,-27.22372418017068,2.112423409344773,118.5684272418984,-22.12490345952968,-0.43186787061723775
3.091268539428711,117.91890449457551,-27.22372418017068,2.112423409344773,118.54874473440377,-22.279413178336984,-0.35476813486081316
3.134800910949707,117.91890449457551,-27.22372418017068,2.112423409344773,118.53022002146766,-22.42483409015562,-0.28220367767829596
3.177567720413208,117.91890449457551,-27.22372418017068,2.112423409344773,118.51275386355644,-22.561945235584624,-0.2137857609062083
3.213418483734131,119.47046902739885,-27.581931077278185,2.1402184542045726,118.53935706255207,-22.701389286742778,-0.14839675493090881
3.2467424869537354,117.91890449457551,-27.22372418017068,2.112423409344773,118.52258807422837,-22.82361455413272,-0.08729350724778229
3.2953715324401855,117.91890449457551,-27.22372418017068,2.112423409344773,118.50670166423753,-22.939406912712666,-0.02940621996903083
3.3394322395324707,117.91890449457551,-27.22372418017068,2.112423409344773,118.49162994193848,-23.049261201621846,0.025512488474912855
3.3799307346343994,117.91890449457551,-27.22372418017068,2.112423409344773,118.4773118057544,-23.153622776085566,0.07768526149665936
3.41463565826416,117.91890449457551,-27.22372418017068,2.112423409344773,118.46369211523786,-23.252893542038862,0.12731302120027188
3.4569475650787354,117.91890449457551,-27.22372418017068,2.112423409344773,118.45072098141256,-23.34743712866105,0.17457755425133142
3.4940850734710693,117.91890449457551,-27.22372418017068,2.112423409344773,118.43835315613728,-23.437583339161275,0.21964373692792308
3.5391364097595215,117.91890449457551,-27.22372418017068,2.112423409344773,118.42654750473815,-23.523631994638762,0.2626614567555788
3.5781967639923096,117.91890449457551,-27.22372418017068,2.112423409344773,118.41526654895675,-23.605856265428358,0.30376727792422753
